approved_symbol,approved_name,target_id,biotype,association_score,evidence_strength_label,gap_score,conservative_gap_score,gap_rank,gap_category,gap_interpretation_tier,symbol_ambiguity_flag,literature_mentions,literature_documents_mentioned,literature_signal_label,trial_mentions,trial_documents_mentioned,trial_signal_label,dominant_literature_theme,dominant_trial_theme,n_matched_papers,n_matched_trials,why_interesting,key_limitations,suggested_next_steps,evidence_card_path
DSTYK,dual serine/threonine and tyrosine protein kinase,ENSG00000133059,protein_coding,0.462898767992589,Lower evidence signal,0.098133,0.122666,154,Low gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"DSTYK has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\DSTYK_evidence_card.md
COPB2,coat protein complex I subunit beta 2,ENSG00000184432,protein_coding,0.462898767992589,Lower evidence signal,0.098133,0.122666,155,Low gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"COPB2 has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\COPB2_evidence_card.md
HEATR1,HEAT repeat containing 1,ENSG00000119285,protein_coding,0.462898767992589,Lower evidence signal,0.098133,0.122666,156,Low gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"HEATR1 has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\HEATR1_evidence_card.md
ZNF207,zinc finger protein 207,ENSG00000010244,protein_coding,0.462898767992589,Lower evidence signal,0.098133,0.122666,157,Low gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"ZNF207 has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\ZNF207_evidence_card.md
PAF1,PAF1 component of Paf1/RNA polymerase II complex,ENSG00000006712,protein_coding,0.4628122530463495,Lower evidence signal,0.098069,0.122586,158,Low gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"PAF1 has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\PAF1_evidence_card.md
SEC13,"SEC13 homolog, nuclear pore and COPII component",ENSG00000157020,protein_coding,0.4627139780652466,Lower evidence signal,0.097996,0.122494,159,Low gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"SEC13 has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\SEC13_evidence_card.md
DHX37,DEAH-box helicase 37,ENSG00000150990,protein_coding,0.4626215831015755,Lower evidence signal,0.097927,0.122409,160,Low gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"DHX37 has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\DHX37_evidence_card.md
PXK,PX domain containing serine/threonine kinase like,ENSG00000168297,protein_coding,0.462590500523488,Lower evidence signal,0.097904,0.12238,161,Low gap signal,Checked-zero text signal,moderate,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"PXK has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration. Note: the symbol 'PXK' may be ambiguous in biomedical or general text; mention counts require manual validation to exclude false positives.","Symbol 'PXK' has a moderate ambiguity flag — mention counts are especially uncertain. | Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\PXK_evidence_card.md
PPP1R15B,protein phosphatase 1 regulatory subunit 15B,ENSG00000158615,protein_coding,0.4623443982105619,Lower evidence signal,0.097721,0.122152,162,Low gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"PPP1R15B has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\PPP1R15B_evidence_card.md
NOP16,NOP16 nucleolar protein,ENSG00000048162,protein_coding,0.4619748183558772,Lower evidence signal,0.097447,0.121809,163,Low gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"NOP16 has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\NOP16_evidence_card.md
PLRG1,pleiotropic regulator 1,ENSG00000171566,protein_coding,0.4619748183558772,Lower evidence signal,0.097447,0.121809,164,Low gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"PLRG1 has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\PLRG1_evidence_card.md
SNRPE,small nuclear ribonucleoprotein polypeptide E,ENSG00000182004,protein_coding,0.4619748183558772,Lower evidence signal,0.097447,0.121809,165,Low gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"SNRPE has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\SNRPE_evidence_card.md
NUP205,nucleoporin 205,ENSG00000155561,protein_coding,0.4619748183558772,Lower evidence signal,0.097447,0.121809,166,Low gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"NUP205 has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\NUP205_evidence_card.md
MTMR14,myotubularin related protein 14,ENSG00000163719,protein_coding,0.4619748183558772,Lower evidence signal,0.097447,0.121809,167,Low gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"MTMR14 has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\MTMR14_evidence_card.md
PPAN,peter pan homolog,ENSG00000130810,protein_coding,0.4619748183558772,Lower evidence signal,0.097447,0.121809,168,Low gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"PPAN has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\PPAN_evidence_card.md
IMP3,IMP U3 small nucleolar ribonucleoprotein 3,ENSG00000177971,protein_coding,0.4619748183558772,Lower evidence signal,0.097447,0.121809,169,Low gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"IMP3 has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\IMP3_evidence_card.md
SUPT6H,"SPT6 homolog, histone chaperone and transcription elongation factor",ENSG00000109111,protein_coding,0.4619748183558772,Lower evidence signal,0.097447,0.121809,170,Low gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"SUPT6H has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\SUPT6H_evidence_card.md
LTV1,LTV1 ribosome biogenesis factor,ENSG00000135521,protein_coding,0.4619748183558772,Lower evidence signal,0.097447,0.121809,171,Low gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"LTV1 has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\LTV1_evidence_card.md
FERMT2,FERM domain containing kindlin 2,ENSG00000073712,protein_coding,0.4616617934842458,Lower evidence signal,0.097215,0.121518,172,Low gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"FERMT2 has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\FERMT2_evidence_card.md
PRDX2,peroxiredoxin 2,ENSG00000167815,protein_coding,0.460568664371186,Lower evidence signal,0.096404,0.120504,173,Low gap signal,Checked-zero text signal,low,0,0,No detected literature signal,0,0,No detected trial text signal,—,—,0,0,"PRDX2 has an Open Targets association score but no symbol detections were found in the retrieved literature or trial corpus. This may reflect alias-only coverage, trial registration by drug name rather than target symbol, or genuine absence from this corpus sample. It should be treated as a checked-zero lexical signal — not confirmed underexploration.","Lexical symbol matching may miss aliases, synonyms, and protein/drug names. | Short or common symbols may produce false positives in non-biological text contexts. | The literature corpus covers a sample (~478 papers); zero mentions ≠ zero coverage overall. | Trial text may name drugs or interventions rather than molecular targets; low trial signal does not prove absence of relevant trials. | Open Targets association scores reflect multi-source research evidence, not therapeutic viability. | NMF topic labels are statistically derived approximations, not curated clinical categories. | This card is not clinical decision support and must not inform clinical or drug-development decisions.","Manually inspect matched papers/trials to confirm symbol relevance. | Search using aliases, protein names, and drug names (not only gene symbol). | Validate target biology using curated domain literature and pathway databases. | Check whether relevant drug programmes exist under intervention names rather than target symbol. | Compare against Open Targets full evidence category breakdown (genetics, literature, CRISPR, etc.). | Consider PubTator, UniProt, STRING, or Reactome for mechanistic context. | Expert biomedical review is required before drawing any research or development conclusions.",outputs\evidence_cards\PRDX2_evidence_card.md
